date,artist,song_name,video,group_type,release,link,like_count,view_count
2021-06-02,Mamamoo,Where Are We Now,Youtube,Girl,Major,https://www.youtube.com/watch?v=zzk09ESX7e0,737321,14529709
2021-06-01,MONSTA X,GAMBLER,Youtube,Boy,Major,https://www.youtube.com/watch?v=yY13X0BKaUw,718176,43870531
2021-06-01,B.I,illa illa,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=5GaVA3ebKCo,783696,28781214
2021-05-31,Joy (Red Velvet),Hello,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=lNvBbh5jDcA,1575331,29608087
2021-05-31,TXT,0X1 Lovesong (I Know I Love You),Youtube,Boy,Major,https://www.youtube.com/watch?v=d5bbqKYu51w,3568904,85728700
2021-05-28,WONWOO X MINGYU,Bittersweet (feat. LeeHi),Youtube,Boy,Major,https://www.youtube.com/watch?v=gvdACvfuGFA,738347,15458637
2021-05-28,BTS,Butter (Hotter Remix),Youtube,Boy,Minor,https://www.youtube.com/watch?v=YLXfyHsfFz0,6464928,109453674
2021-05-28,Weeekly,7days Tension,Youtube,Girl,CF,https://www.youtube.com/watch?v=zWzO3POfAJ8,97541,11469157
2021-05-27,woo!ah!,Purple,Youtube,Girl,Major,https://www.youtube.com/watch?v=UE--H12gl2I,86508,4051256
2021-05-26,GWSN,Like it Hot,Youtube,Girl,Major,https://www.youtube.com/watch?v=ldjzv4Pf7zE,105723,4528159
2021-05-25,EVERGLOW,FIRST,Youtube,Girl,Major,https://www.youtube.com/watch?v=Z3RA7bi5FUM,1407813,92486425
2021-05-21,BTS,Butter,Youtube,Boy,English,https://www.youtube.com/watch?v=WMweEpGlu_U,22662712,841879845
2021-05-20,TO1,Son of a Beast,Youtube,Boy,Major,https://www.youtube.com/watch?v=xUOOL9l6Dqc,93456,11623216
2021-05-20,Bling Bling,Oh Mama,Youtube,Girl,Major,https://www.youtube.com/watch?v=LJ07w2qbfqk,64406,3635816
2021-05-20,PIXY,Let Me Know,Youtube,Girl,Major,https://www.youtube.com/watch?v=Z0dvWdMOlSU,129015,2446813
2021-05-20,Yuqi,Bonnie & Clyde,Youtube,Girl,English,https://www.youtube.com/watch?v=AE8yKldv_oo,588777,17916090
2021-05-19,ENHYPEN,Fever,Youtube,Boy,Minor,https://www.youtube.com/watch?v=X7d6Dt17yHk,3646371,90374848
2021-05-19,E'LAST U,The beginning of spring,Youtube,Boy,Major,https://www.youtube.com/watch?v=e2_n58VfOK0,34234,1848964
2021-05-18,Taemin,Advice,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=sQg4VCB3bYw,1204699,43805827
2021-05-18,TRI.BE,RUB-A-DUM,Youtube,Girl,Major,https://www.youtube.com/watch?v=zTSWX8vsEz8,321248,16258806
2021-05-17,MONSTA X,Fantasia -Japanese ver.-,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=-WuHCxi45Hw,52441,467527
2021-05-17,aespa,Next Level,Youtube,Girl,Major,https://www.youtube.com/watch?v=4TWR90KJl84,3733338,255291523
2021-05-17,Rocket Punch,Ring Ring,Youtube,Girl,Major,https://www.youtube.com/watch?v=G_SmwQ06TQE,179748,14878040
2021-05-17,fromis_9,We Go,Youtube,Girl,Major,https://www.youtube.com/watch?v=HM6UpQZvbhY,340820,24627302
2021-05-14,ICU,Look at Me,Youtube,Girl,Major,https://www.youtube.com/watch?v=MzoAQO57kBU,8860,126402
2021-05-13,Yuqi,Giant,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=wxDHQT0iBKM,459368,11921205
2021-05-13,Onewe,Feeling Good,Youtube,Boy,Special,https://www.youtube.com/watch?v=sKSMBHdnSGM,12296,97471
2021-05-12,Wonho,Ain’t About You feat. Kiiara,Youtube,Boy Solo,English,https://www.youtube.com/watch?v=lqKXq-_32z8,288072,4806432
