name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Nabillera,Nabillera,HyunA,2022-07-20,168462,58,0.732,0.129,0.668,0.00796,0.0927,-5.472,0.297,187.83,4
BLIND LOVE,We’re Not Alone Final : Only You,GreatGuys,2022-07-20,179493,25,0.644,0.2,0.712,0,0.117,-4.377,0.0665,119.92,4
Look At Me - Korean ver.,Cherish,Kawaguchi Yurina,2022-07-20,184400,28,0.732,0.217,0.778,0,0.045,-5.108,0.0429,137.942,4
Que Sera Sera,Que Sera Sera,ILY:1,2022-07-19,185506,39,0.72,0.122,0.787,0,0.0961,-3.49,0.07,160.057,4
BEAUTIFUL MONSTER,WE NEED LOVE,STAYC,2022-07-19,180000,70,0.594,0.121,0.647,0,0.352,-4.347,0.0834,82.321,4
SEOUL DRIFT,SEOUL DRIFT,ZICO,2022-07-19,199626,54,0.697,0.0564,0.777,0,0.339,-5.041,0.209,165.035,4
NO THANKS,iCE,HYOLYN,2022-07-18,181373,45,0.88,0.0168,0.797,0.000154,0.235,-3.488,0.0532,95.99,4
_WORLD,SEVENTEEN 4th Album Repackage 'SECTOR 17',SEVENTEEN,2022-07-18,178453,76,0.709,0.312,0.809,0,0.0899,-3.198,0.0541,111.01,4
Arson,Jack In The Box,j-hope,2022-07-15,159761,78,0.938,0.00813,0.798,7.03e-05,0.146,-3.998,0.103,99.992,4
SNEAKERS,CHECKMATE,ITZY,2022-07-15,179453,75,0.935,0.0192,0.849,0,0.0223,-3.047,0.0779,119.986,4
Celebrate,Celebrate,TWICE,2022-07-15,188433,66,0.776,0.0628,0.89,0,0.0634,-2.678,0.0573,111.998,4
Patbingsu,track by YOON: Patbingsu,Billlie,2022-07-14,209870,47,0.459,0.0132,0.896,1.27e-05,0.091,-3.678,0.103,132.003,4
Hi-Way,Summer Ride,Hi-L,2022-07-14,188040,19,0.78,0.201,0.941,6.02e-06,0.587,-2.31,0.128,120.028,4
SCREAM,THE WAVE OF9,SF9,2022-07-13,188733,46,0.77,0.129,0.885,0,0.0865,-3.536,0.144,120.041,4
SAVIOR -Japanese ver.-,SAVIOR -Japanese ver.-,AB6IX,2022-07-13,182155,13,0.835,0.138,0.632,0,0.154,-4.507,0.1,94.99,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copycat,Copycat,Apink CHOBOM,2022-07-12,204186,60,0.753,0.173,0.815,0,0.0465,-3.085,0.0608,112.035,4
Mango,The Road : Keep on Going - The 11th Album Vol.1,SUPER JUNIOR,2022-07-12,199213,56,0.719,0.124,0.833,0,0.1,-2.464,0.0447,113.948,4
OASIS,OASIS,1CHU,2022-07-12,210000,20,0.702,0.122,0.845,0,0.227,-3.441,0.0714,128.005,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Starlit,Starlit,UiU,2022-07-11,231813,16,0.7,0.142,0.801,0,0.264,-4.748,0.0734,129.97,4
Girls,Girls - The 2nd Mini Album,aespa,2022-07-08,240440,75,0.57,0.115,0.974,0.000594,0.125,-0.173,0.325,171.958,4
LUCID DREAM,LUCID DREAM,Jiyoung Kang,2022-07-07,181867,19,0.565,0.00475,0.464,0.0136,0.102,-8.215,0.03,109.906,4
#MOOD,THE EARTH : SECRET MISSION Chapter.2,MCND,2022-07-07,167853,45,0.796,0.136,0.923,0,0.305,-1.947,0.206,125.969,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RUN,RUN,H1-KEY,2022-07-06,195880,41,0.708,0.0459,0.918,0,0.0717,-1.308,0.13,99.449,4
LOVEADE,The 2nd Mini Album 'Summer Vibe',VIVIZ,2022-07-06,218880,53,0.804,0.0138,0.786,0,0.0725,-4.071,0.146,113.999,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WANNA KNOW,WANNA KNOW,IRRIS,2022-07-06,161866,37,0.72,0.00164,0.853,1.04e-06,0.112,-2.318,0.0827,100.015,4
Life goes on,Life goes on,ONEW,2022-06-21,200946,32,0.539,0.146,0.717,0,0.3,-5.659,0.0519,155.048,4
Last Sequence,Sequence,WJSN,2022-07-05,187466,59,0.664,0.174,0.887,0,0.0894,-2.331,0.0841,121.092,4
I LOVE U,HOLIDAY,WINNER,2022-07-05,176000,58,0.782,0.021,0.683,0,0.0576,-3.31,0.0604,105.024,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Future Perfect (Pass the MIC),MANIFESTO : DAY 1,ENHYPEN,2022-07-04,180750,76,0.658,0.0364,0.9,0,0.0771,-3.479,0.264,156.096,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
imysm - NIIKO X SWAE Remix,imysm (NIIKO X SWAE Remix),Mark Tuan,2022-09-19,237265,48,0.645,0.0344,0.875,2.92e-06,0.204,-5.219,0.0559,130.005,4
MORE,Jack In The Box,j-hope,2022-07-15,180022,73,0.783,0.00537,0.722,0.00209,0.105,-4.864,0.0357,97.031,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Top Secret,We can,Weeekly,2020-10-13,186773,38,0.803,0.00716,0.797,0.000287,0.356,-2.188,0.0357,125.003,4
Undo,Undo,HEIZE,2022-06-30,168739,52,0.784,0.201,0.676,1.06e-06,0.0903,-4.836,0.0497,116.103,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MASCARA,MASCARA,XG,2022-06-29,191439,69,0.794,0.0482,0.877,1.99e-06,0.241,-3.608,0.0827,119.013,4
Heart Burn,Heart Burn,SUNMI,2022-06-29,193173,67,0.84,0.0287,0.656,4.38e-06,0.0714,-5.162,0.0401,121.99,4
Whispers in the Dark,The Dreaming,Monsta X,2021-12-10,220545,50,0.62,0.147,0.665,0.00712,0.123,-6.112,0.0344,142.996,4
Fiore,Fiore,Rocket Punch,2022-06-29,188857,27,0.541,0.0126,0.895,0,0.309,-2.781,0.102,163.986,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOOM,BOOM,LEE MINHYUK (HUTA),2022-06-27,201080,46,0.713,0.0271,0.875,0,0.0572,-3.323,0.0638,96.068,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stay This Way,from our Memento Box,fromis_9,2022-06-27,195653,62,0.682,0.0709,0.855,0,0.046,-2.421,0.0553,123.945,4
Afterimage Project Pt.4 'unicorn',Afterimage Project Pt.4 'unicorn',KIM Boa (SPICA),2022-06-24,156873,7,0.661,0.162,0.724,0,0.228,-4.236,0.0353,125.058,4
